op_idx,kind,ret,max_free,num_free
245,alloc,1072,29,4
246,alloc,1099,29,5
247,alloc,1073,29,3
248,alloc,1080,29,2
249,alloc,1000,30,2
250,alloc,1003,30,2
251,alloc,1006,30,2
252,alloc,1014,30,2
253,alloc,1017,30,2
254,alloc,1037,20,2
255,alloc,1021,30,2
256,alloc,1037,22,2
257,alloc,1073,22,2
258,alloc,1045,14,2
259,alloc,1053,7,2
260,alloc,1021,7,2
261,alloc,1060,2,2
262,alloc,-1,2,2
263,alloc,1078,24,5
264,alloc,1021,15,5
265,alloc,1053,24,4
266,alloc,1021,16,4
267,alloc,1086,24,4
268,alloc,1021,22,4
269,alloc,1021,14,4
270,alloc,1006,14,7
271,alloc,1068,14,7
272,alloc,1095,14,7
273,alloc,1078,14,7
274,alloc,1053,24,5
275,alloc,1070,32,5
276,alloc,1066,39,4
277,alloc,1000,47,4
278,alloc,1000,68,3
279,alloc,1000,99,1
280,alloc,1001,96,1
281,alloc,1000,91,1
282,alloc,1009,86,1
283,alloc,1000,95,1
284,alloc,1000,99,1
285,alloc,1001,97,1
286,alloc,1000,90,1
287,alloc,1000,93,1
288,alloc,1000,99,1
289,alloc,1001,97,1
290,alloc,1003,90,1
291,alloc,1000,94,1
292,alloc,1006,88,1
293,alloc,1012,80,2
294,alloc,1000,80,2
295,alloc,1020,70,2
296,alloc,1000,80,2
297,alloc,1000,95,1
298,alloc,1005,91,1
299,alloc,1000,91,1
300,alloc,1009,86,1
301,alloc,1014,81,1
302,alloc,1009,87,1
303,alloc,1013,79,1
304,alloc,1021,70,1
305,alloc,1030,65,1
306,alloc,1035,61,1
307,alloc,1039,60,1
308,alloc,1040,51,2
309,alloc,1030,51,2
310,alloc,1049,41,2
311,alloc,1030,41,3
312,alloc,1009,41,3
313,alloc,1031,41,2
314,alloc,1040,41,2
315,alloc,1000,41,3
316,alloc,1006,53,2
317,alloc,1007,60,4
318,alloc,1017,65,2
319,alloc,1035,59,2
320,alloc,1041,57,2
321,alloc,1043,48,3
322,alloc,1043,48,3
323,alloc,1017,48,2
324,alloc,1020,48,2
325,alloc,1052,39,2
326,alloc,1061,30,2
327,alloc,1023,30,2
328,alloc,1070,20,2
329,alloc,1080,16,2
330,alloc,1080,11,2
331,alloc,1043,12,4
332,alloc,1041,12,4
333,alloc,1089,13,4
334,alloc,1089,13,4
335,alloc,1094,13,4
336,alloc,1023,13,4
337,alloc,1048,7,4
338,alloc,1048,6,5
339,alloc,1020,6,4
340,alloc,1030,6,4
341,alloc,-1,6,4
342,alloc,-1,6,4
343,alloc,1030,6,3
344,alloc,1035,10,5
345,alloc,1035,10,4
346,alloc,1048,19,5
347,alloc,1094,19,4
348,alloc,1070,12,4
349,alloc,1077,7,4
350,alloc,1082,12,4
351,alloc,1058,7,4
352,alloc,1006,7,3
353,alloc,1017,14,3
354,alloc,1058,10,3
355,alloc,1020,10,4
356,alloc,1058,10,4
357,alloc,1082,19,5
358,alloc,1006,42,2
359,alloc,1017,52,2
360,alloc,1024,52,3
361,alloc,1032,52,3
362,alloc,1000,52,4
363,alloc,1041,51,3
364,alloc,1005,68,2
365,alloc,1000,68,2
366,alloc,1008,68,2
367,alloc,1009,68,2
368,alloc,1008,68,2
369,alloc,1014,68,2
370,alloc,1032,63,2
371,alloc,1037,54,2
372,alloc,1046,47,2
373,alloc,1020,47,2
374,alloc,1022,54,3
375,alloc,1000,54,3
376,alloc,1004,63,3
377,alloc,1037,61,3
378,alloc,1004,61,3
379,alloc,1039,52,3
380,alloc,1048,45,4
381,alloc,1023,45,4
382,alloc,1055,36,4
383,alloc,1000,36,4
384,alloc,1064,26,4
385,alloc,1032,26,5
386,alloc,1010,26,4
387,alloc,1074,18,4
388,alloc,1082,8,4
389,alloc,1022,10,3
390,alloc,1092,36,3
391,alloc,1092,42,3
392,alloc,1097,42,2
393,alloc,1032,32,2
394,alloc,1000,32,2
395,alloc,1042,28,2
396,alloc,1082,32,4
397,alloc,1010,32,3
398,alloc,1010,32,6
399,alloc,1002,32,5
400,alloc,1013,32,3
401,alloc,1089,32,3
402,alloc,1090,32,2
403,alloc,1020,40,3
404,alloc,1029,40,3
405,alloc,1042,32,5
406,alloc,1089,32,5
407,alloc,1014,69,4
408,alloc,1010,69,4
409,alloc,1000,80,3
410,alloc,1004,80,3
411,alloc,1012,83,2
412,alloc,1017,75,3
413,alloc,1025,70,3
414,alloc,1030,65,3
415,alloc,1000,65,3
416,alloc,1000,65,3
417,alloc,1025,65,3
418,alloc,1000,65,2
419,alloc,1000,90,1
420,alloc,1000,93,1
421,alloc,1000,95,1
422,alloc,1005,85,1
423,alloc,1005,94,1
424,alloc,1006,89,1
425,alloc,1000,93,1
426,alloc,1007,87,1
427,alloc,1013,82,1
428,alloc,1018,75,1
429,alloc,1025,67,2
430,alloc,1007,75,2
431,alloc,1000,75,2
432,alloc,1000,75,2
433,alloc,1003,75,1
434,alloc,1025,68,1
435,alloc,1032,64,1
436,alloc,1003,64,2
437,alloc,1000,64,2
438,alloc,1036,55,2
439,alloc,1010,55,2
440,alloc,1016,55,1
441,alloc,1045,51,1
442,alloc,1032,51,3
443,alloc,1000,51,3
444,alloc,1016,51,3
445,alloc,1020,51,3
446,alloc,1016,51,4
447,alloc,1027,51,4
448,alloc,1034,51,4
449,alloc,1017,62,3
450,alloc,1038,57,3
451,alloc,1043,48,3
452,alloc,1023,48,2
453,alloc,1052,40,3
454,alloc,1017,40,2
455,alloc,1023,48,2
456,alloc,1017,48,2
457,alloc,1000,48,2
458,alloc,1052,38,2
459,alloc,1024,48,2
460,alloc,1024,48,4
461,alloc,1031,48,4
462,alloc,1010,62,3
463,alloc,1038,52,4
464,alloc,1017,52,4
465,alloc,1031,60,3
466,alloc,1022,70,2
467,alloc,1015,70,2
468,alloc,1000,70,3
469,alloc,1009,70,3
470,alloc,1030,66,3
471,alloc,1014,66,3
472,alloc,1000,86,2
473,alloc,1003,86,2
474,alloc,1014,76,2
475,alloc,1024,68,2
476,alloc,1000,68,2
477,alloc,1032,66,2
478,alloc,1003,66,2
479,alloc,1003,66,2
480,alloc,1000,66,2
481,alloc,1000,86,2
482,alloc,1000,99,1
483,alloc,1001,90,1
484,alloc,1010,80,1
485,alloc,1010,87,1
486,alloc,1013,83,1
487,alloc,1017,75,1
488,alloc,1025,72,2
489,alloc,1028,63,2
490,alloc,1000,63,2
491,alloc,1028,65,2
492,alloc,1005,65,2
493,alloc,1035,55,2
494,alloc,1028,55,3
495,alloc,1033,63,2
496,alloc,1037,58,2
497,alloc,1042,55,2
498,alloc,1042,51,2
499,alloc,1049,45,2
500,alloc,1017,45,5
501,alloc,1028,51,4
502,alloc,1017,51,4
503,alloc,1000,51,4
504,alloc,1008,63,3
505,alloc,1037,60,3
506,alloc,1011,63,3
507,alloc,1000,89,2
508,alloc,1011,83,2
509,alloc,1000,90,1
510,alloc,1010,88,1
511,alloc,1012,81,1
512,alloc,1000,91,1
513,alloc,1009,84,1
514,alloc,1009,87,1
515,alloc,1000,98,1
